,i,j
227,32,788
228,33,122
229,33,191
230,33,558
231,33,735
232,33,790
233,33,820
234,33,892
235,34,120
236,34,237
237,34,337
238,34,626
239,34,678
240,35,61
241,35,237
242,35,399
243,35,582
244,35,602
245,35,938
246,36,120
247,36,194
248,36,388
249,36,784
250,36,843
251,37,230
252,37,301
253,37,804
254,37,969
255,38,471
256,38,954
257,39,562
258,39,737
259,39,748
260,39,865
261,39,900
262,39,952
263,40,43
264,40,74
265,40,378
266,40,420
267,40,467
268,40,541
269,40,601
270,40,639
271,40,735
272,40,923
273,40,985
274,41,108
275,41,153
276,41,250
277,41,358
278,41,388
279,41,398
280,41,413
281,41,501
282,41,634
283,42,67
284,42,86
285,42,414
286,42,518
287,42,608
288,42,819
289,42,913
290,43,74
291,43,77
292,43,117
293,43,178
294,43,207
295,43,218
296,43,238
297,43,386
298,43,420
299,43,444
300,43,721
301,43,757
302,43,817
303,44,363
304,44,429
305,44,932
306,45,299
307,45,409
308,45,466
309,45,489
310,45,575
311,45,581
312,45,617
313,45,704
314,46,52
315,46,99
316,46,151
317,46,472
318,46,621
319,46,676
320,46,927
321,47,126
322,47,232
323,47,442
324,48,203
325,48,438
326,48,707
327,49,371
328,49,454
329,49,640
330,49,856
331,50,271
332,50,335
333,50,654
334,50,869
335,52,103
336,52,163
337,52,199
338,52,283
339,52,472
340,52,622
341,52,726
342,52,799
343,52,848
344,52,894
345,52,907
346,53,203
347,53,224
348,53,461
349,53,599
350,54,169
351,54,217
352,54,219
353,54,302
354,54,337
355,54,443
356,54,582
357,55,128
358,55,159
359,55,180
360,55,224
361,55,271
362,55,311
363,55,341
364,55,384
365,55,411
366,55,648
367,55,746
368,55,898
369,56,147
370,56,159
371,56,264
372,56,293
373,56,303
374,56,352
375,56,380
376,56,521
377,56,608
378,56,710
379,56,712
380,56,723
381,56,724
382,57,193
383,57,210
384,57,275
385,57,350
386,57,441
387,57,457
388,57,552
389,57,756
390,58,295
391,58,337
392,58,354
393,59,71
394,59,308
395,59,558
396,59,679
397,59,723
398,59,960
399,60,522
400,60,672
401,60,871
402,60,874
403,61,358
404,61,365
405,62,135
406,62,221
407,62,270
408,62,503
409,62,508
410,62,557
411,62,698
412,62,724
413,62,791
414,62,812
415,62,837
416,62,842
417,63,176
418,63,334
419,63,344
420,63,788
421,63,817
422,63,863
423,63,886
424,63,920
425,63,973
426,63,976
427,64,108
428,64,149
429,64,186
430,64,196
431,64,320
432,64,566
433,64,571
434,64,579
435,64,745
436,64,775
437,64,921
438,64,949
439,65,256
440,65,400
441,65,481
442,65,558
443,65,578
444,65,723
445,65,901
446,66,237
447,66,240
448,66,307
449,66,447
450,66,501
451,66,522
452,66,554
453,66,626
454,66,635
455,66,678
456,66,744
457,66,908
458,66,979
459,67,68
460,67,377
461,67,542
462,67,667
463,67,769
464,67,819
465,67,836
466,67,909
467,68,122
468,68,134
469,68,179
470,68,258
471,68,298
472,68,378
473,68,393
474,68,558
475,68,561
476,68,661
477,68,822
478,69,141
479,69,211
480,69,503
481,69,752
482,69,837
483,69,969
484,70,135
485,70,166
486,70,322
487,70,323
488,70,424
489,70,559
490,70,589
491,70,679
492,70,685
493,71,400
494,71,435
495,71,499
496,71,784
497,71,809
498,71,903
499,71,966
500,72,218
501,72,252
502,72,286
503,72,487
504,72,527
505,72,624
506,72,652
507,72,806
508,72,931
509,72,961
510,72,973
511,73,147
512,73,352
513,73,646
514,73,674
515,73,711
516,73,764
517,73,809
518,74,119
519,74,197
520,74,270
521,74,375
522,74,401
523,74,420
524,74,422
525,74,488
526,74,489
527,74,675
528,74,881
529,74,950
530,75,206
531,75,208
532,75,233
533,75,236
534,75,260
535,75,579
536,75,856
537,76,124
538,76,173
539,76,296
540,76,435
541,76,580
542,76,744
543,76,868
544,76,875
545,76,877
546,76,904
547,76,960
548,77,251
549,77,259
550,77,527
551,77,587
552,77,652
553,77,823
554,77,885
555,77,913
556,77,985
557,78,412
558,78,429
559,78,951
560,79,201
561,79,399
562,79,447
563,79,538
564,79,632
565,79,660
566,79,910
567,80,85
568,80,486
569,80,572
570,80,657
571,80,773
572,80,869
573,81,275
574,81,788
575,82,820
576,83,362
577,83,394
578,83,590
579,83,773
580,83,839
581,84,163
582,84,199
583,84,236
584,84,306
585,84,906
586,85,156
587,85,224
588,85,257
589,85,343
590,85,383
591,85,559
592,85,677
593,85,739
594,85,850
595,85,999
596,86,277
597,86,378
598,86,866
599,86,958
600,86,962
601,87,180
602,87,331
603,87,458
604,87,510
605,87,578
606,87,724
607,87,752
608,87,821
609,88,379
610,88,501
611,88,566
612,88,643
613,89,151
614,89,197
615,89,575
616,89,669
617,89,708
618,89,904
619,90,160
620,90,408
621,90,455
622,90,629
623,90,788
624,90,829
625,90,858
626,90,863
627,90,886
628,90,900
629,90,976
630,91,136
631,91,320
632,91,447
633,91,525
634,91,620
635,91,750
636,92,271
637,92,343
638,92,434
639,92,490
640,93,95
641,93,175
642,93,218
643,93,235
644,93,615
645,94,568
646,95,175
647,95,332
648,95,436
649,95,617
650,95,638
651,95,817
652,95,984
653,95,987
654,96,163
655,96,656
656,96,830
657,96,831
658,97,133
659,97,198
660,97,355
661,97,425
662,97,573
663,97,605
664,97,633
665,97,855
666,98,277
667,98,298
668,98,482
669,98,536
670,98,642
671,98,674
672,98,922
673,98,923
674,99,319
675,99,676
676,99,741
677,101,172
678,101,196
679,101,296
680,101,580
681,101,672
682,101,853
683,101,877
684,101,992
685,102,115
686,102,299
687,102,574
688,102,617
689,102,717
690,102,907
691,102,980
692,102,984
693,102,998
694,103,475
695,103,478
696,103,726
697,103,875
698,103,882
699,103,939
700,103,981
701,104,244
702,104,366
703,104,405
704,104,582
705,104,602
706,105,434
707,105,512
708,105,674
709,105,687
710,105,805
711,105,849
712,106,323
713,106,326
714,106,340
715,106,421
716,106,662
717,106,711
718,106,803
719,106,874
720,106,895
721,107,147
722,107,304
723,107,340
724,107,364
725,107,456
726,107,530
727,107,564
728,107,606
729,107,692
730,107,812
731,107,909
732,107,977
733,108,169
734,108,511
735,108,702
736,108,993
737,109,183
738,109,406
739,109,435
740,109,514
741,109,525
742,109,604
743,109,794
744,109,811
745,109,882
746,109,978
747,110,141
748,110,191
749,110,320
750,110,367
751,110,428
752,110,459
753,110,659
754,110,673
755,111,319
756,111,954
757,112,152
758,112,300
759,113,265
760,113,492
761,113,509
762,113,560
763,113,568
764,113,840
765,114,179
766,114,286
767,114,420
768,114,485
769,114,487
770,114,513
771,114,596
772,114,848
773,114,925
774,115,373
775,115,436
776,115,462
777,115,553
778,115,575
779,115,621
780,115,638
781,115,747
782,115,873
783,116,286
784,116,452
785,116,479
786,117,615
787,117,732
788,117,886
789,117,959
790,117,973
791,118,204
792,118,244
793,118,337
794,118,398
795,118,678
796,118,967
797,119,170
798,119,393
799,119,439
800,119,541
801,119,587
802,119,616
803,119,842
804,119,915
805,120,187
806,120,203
807,120,554
808,120,689
809,120,864
810,120,960
811,120,967
812,121,197
813,121,393
814,121,716
815,121,962
816,121,985
817,122,414
818,122,587
819,122,667
820,122,709
821,122,757
822,122,782
823,122,809
824,122,819
825,123,158
826,123,228
827,123,286
828,123,417
829,123,523
830,123,612
831,123,624
832,123,652
833,123,732
834,123,920
835,123,930
836,123,939
837,123,975
838,124,141
839,124,187
840,124,254
841,124,426
842,124,811
843,124,843
844,124,937
845,125,254
846,125,402
847,125,525
848,125,678
849,125,838
850,126,465
851,126,768
852,126,787
853,127,202
854,127,570
855,127,650
856,128,326
857,128,433
858,128,494
859,128,780
860,128,969
861,129,215
862,129,295
863,129,630
864,129,796
865,129,816
866,130,215
867,130,786
868,131,173
869,131,296
870,131,327
871,131,496
872,131,525
873,131,550
874,132,472
875,132,489
876,132,517
877,132,543
878,132,656
879,132,799
880,132,848
881,132,906
882,132,998
883,133,198
884,133,315
885,133,377
886,133,393
887,133,482
888,133,567
889,133,692
890,133,757
891,133,812
892,133,923
893,133,985
894,134,426
895,134,868
896,134,905
897,134,906
898,135,191
899,135,272
900,135,364
901,135,433
902,135,567
903,135,692
904,135,762
905,135,771
906,136,260
907,136,538
908,137,632
909,137,663
910,138,667
911,138,809
912,138,836
913,138,950
914,139,193
915,139,275
916,139,562
917,139,970
918,140,369
919,140,590
920,140,657
921,140,860
922,141,393
923,141,591
924,141,616
925,141,809
926,141,870
927,142,227
928,142,242
929,142,257
930,142,274
931,142,483
932,142,839
933,142,860
934,142,872
935,143,220
936,143,309
937,143,352
938,143,364
939,143,498
940,143,530
941,143,573
942,143,795
943,144,517
944,144,542
945,144,557
946,144,785
947,145,163
948,145,540
949,145,550
950,145,815
951,145,937
952,145,949
953,146,583
954,146,873
955,147,220
956,147,267
957,147,433
958,147,674
959,147,686
960,147,698
961,147,712
962,147,757
963,147,975
964,148,263
965,148,412
966,148,865
967,149,398
968,149,432
969,149,620
970,149,793
971,150,816
972,151,472
973,151,708
974,151,848
975,151,904
976,151,982
977,152,237
978,152,278
979,153,237
980,153,604
981,154,183
982,154,375
983,154,426
984,154,616
985,154,819
986,155,565
987,155,699
988,155,908
989,156,499
990,156,594
991,156,599
992,156,969
993,157,436
994,157,477
995,157,479
996,157,900
997,157,917
998,158,393
999,158,444
1000,158,526
1001,158,555
1002,158,564
1003,158,716
1004,158,722
1005,158,823
1006,158,912
1007,158,915
1008,158,962
1009,159,262
1010,159,264
1011,159,460
1012,159,494
1013,159,531
1014,159,728
1015,159,802
1016,160,730
1017,160,756
1018,160,783
1019,160,893
1020,160,961
1021,161,172
1022,161,331
1023,161,406
1024,161,438
1025,161,601
1026,161,661
1027,161,667
1028,161,761
1029,161,843
1030,161,966
1031,161,967
1032,162,454
1033,162,574
1034,162,717
1035,162,980
1036,163,378
1037,163,634
1038,163,785
1039,163,870
1040,164,289
1041,164,478
1042,164,603
1043,164,621
1044,164,622
1045,164,683
1046,164,743
1047,164,747
1048,165,851
1049,165,859
1050,166,318
1051,166,341
1052,166,503
1053,166,636
1054,166,685
1055,166,710
1056,166,764
1057,166,820
1058,167,200
1059,167,490
1060,167,677
1061,167,808
1062,168,626
1063,168,684
1064,169,582
1065,169,972
1066,170,348
1067,170,406
1068,170,508
1069,170,510
1070,170,520
1071,170,644
1072,170,751
1073,170,790
1074,170,794
1075,170,815
1076,170,875
1077,170,950
1078,170,955
1079,170,978
1080,170,992
1081,171,499
1082,171,844
1083,171,849
1084,171,857
1085,171,969
1086,172,279
1087,172,724
1088,172,766
1089,173,194
1090,173,250
1091,173,447
1092,173,496
1093,173,511
1094,173,634
1095,173,750
1096,173,815
1097,173,946
1098,174,329
1099,174,435
1100,174,668
1101,174,751
1102,174,757
1103,174,823
1104,174,866
1105,174,882
1106,174,926
1107,175,299
1108,175,528
1109,175,546
1110,175,622
1111,175,691
1112,175,817
1113,176,193
1114,176,228
1115,176,251
1116,176,275
1117,176,351
1118,176,417
1119,176,469
1120,176,627
1121,177,544
1122,178,238
1123,178,239
1124,178,446
1125,178,453
1126,178,523
1127,178,533
1128,178,598
1129,178,628
1130,178,817
1131,178,959
1132,178,990
1133,179,258
1134,179,524
1135,179,536
1136,179,757
1137,179,809
1138,179,862
1139,179,881
1140,179,885
1141,179,903
1142,180,424
1143,180,613
1144,180,709
1145,180,903
1146,181,388
1147,181,678
1148,181,966
1149,181,979
1150,182,927
1151,182,956
1152,183,197
1153,183,378
1154,183,426
1155,183,459
1156,183,508
1157,183,541
1158,183,557
1159,183,575
1160,183,669
1161,183,782
1162,183,892
1163,183,905
1164,183,915
1165,184,321
1166,184,581
1167,184,688
1168,185,313
1169,185,430
1170,185,897
1171,185,938
1172,186,225
1173,186,448
1174,186,597
1175,186,634
1176,186,656
1177,186,659
1178,186,702
1179,186,744
1180,186,877
1181,187,255
1182,187,307
1183,187,432
1184,187,447
1185,187,525
1186,187,571
1187,187,864
1188,188,326
1189,188,343
1190,188,594
1191,188,599
1192,188,701
1193,188,871
1194,189,431
1195,189,579
1196,189,583
1197,189,927
1198,190,282
1199,190,291
1200,190,327
1201,190,358
1202,190,370
1203,190,496
1204,190,501
1205,190,511
1206,190,519
1207,190,571
1208,191,192
1209,191,481
1210,191,661
1211,191,711
1212,191,714
1213,191,836
1214,191,837
1215,191,992
1216,192,419
1217,192,821
1218,192,879
1219,193,216
1220,193,533
1221,193,562
1222,193,627
1223,193,952
1224,194,199
1225,194,282
1226,194,431
1227,194,656
1228,194,785
1229,194,831
1230,194,894
1231,195,818
1232,196,211
1233,196,255
1234,196,331
1235,196,438
1236,196,843
1237,197,298
1238,197,378
1239,197,420
1240,197,475
1241,197,504
1242,197,513
1243,197,541
1244,197,543
1245,197,596
1246,197,637
1247,197,652
1248,197,866
1249,198,267
1250,198,297
1251,198,408
1252,198,524
1253,198,542
1254,198,573
1255,198,695
1256,198,827
1257,198,913
1258,198,962
1259,199,353
1260,199,535
1261,199,596
1262,199,704
1263,200,271
1264,200,463
1265,200,651
1266,200,654
1267,200,727
1268,200,773
1269,200,957
1270,201,204
1271,201,243
1272,201,292
1273,201,632
1274,201,750
1275,202,234
1276,202,401
1277,202,624
1278,202,712
1279,202,885
1280,203,241
1281,203,944
1282,204,284
1283,204,388
1284,204,445
1285,204,634
1286,204,738
1287,205,571
1288,205,656
1289,205,815
1290,205,875
1291,205,978
1292,206,233
1293,206,236
1294,206,669
1295,206,702
1296,206,785
1297,206,856
1298,206,904
1299,206,981
1300,207,251
1301,207,334
1302,207,420
1303,207,436
1304,207,444
1305,207,561
1306,207,637
1307,207,682
1308,207,715
1309,207,797
1310,207,911
1311,208,260
1312,208,431
1313,208,592
1314,208,635
1315,208,758
1316,208,946
1317,209,731
1318,209,810
1319,210,328
1320,210,694
1321,210,858
1322,211,241
1323,211,279
1324,211,406
1325,211,438
1326,211,510
1327,211,794
1328,211,966
1329,211,967
1330,212,385
1331,213,257
1332,213,362
1333,213,394
1334,213,463
1335,213,994
1336,214,267
1337,214,521
1338,214,808
1339,215,237
1340,215,300
1341,215,582
1342,215,632
1343,216,252
1344,216,655
1345,216,907
1346,216,987
1347,217,413
1348,217,565
1349,217,689
1350,217,699
1351,217,908
1352,218,234
1353,219,276
1354,219,563
1355,219,611
1356,219,734
1357,220,245
1358,220,246
1359,220,389
1360,220,424
1361,220,536
1362,220,559
1363,220,646
1364,220,733
1365,220,849
1366,220,909
1367,221,301
1368,221,318
1369,221,322
1370,221,752
1371,221,762
1372,221,803
1373,221,845
1374,222,269
1375,222,304
1376,222,570
1377,222,862
1378,222,909
1379,222,977
1380,223,509
1381,223,545
1382,223,928
1383,224,241
1384,224,313
1385,224,857
1386,224,879
1387,224,999
1388,225,336
1389,225,577
1390,225,743
1391,225,894
1392,225,991
1393,226,294
1394,226,644
1395,226,669
1396,226,767
1397,226,926
1398,227,530
1399,227,657
1400,227,697
1401,227,872
1402,227,884
1403,227,996
1404,228,234
1405,228,259
1406,228,671
1407,228,817
1408,228,976
1409,228,985
1410,229,418
1411,229,529
1412,229,592
1413,229,729
1414,229,873
1415,229,891
1416,230,711
1417,230,879
1418,230,944
1419,231,328
1420,231,357
1421,231,417
1422,231,442
1423,231,468
1424,231,532
1425,231,725
1426,232,474
1427,232,768
1428,232,787
1429,232,932
1430,233,418
1431,233,496
1432,233,579
1433,233,741
1434,233,894
1435,233,991
1436,234,315
1437,234,564
1438,234,625
1439,234,715
1440,234,732
1441,234,913
1442,234,962
1443,234,985
1444,235,372
1445,235,547
1446,235,617
1447,235,718
1448,235,747
1449,235,948
1450,235,984
1451,236,581
1452,236,770
1453,236,873
1454,236,880
1455,236,882
1456,236,947
1457,237,279
1458,237,305
1459,237,501
1460,237,611
1461,237,734
1462,237,834
1463,238,417
1464,238,532
1465,238,586
1466,238,638
1467,238,671
1468,238,732
1469,239,562
1470,239,615
1471,239,705
1472,239,797
1473,239,990
1474,240,522
1475,240,599
1476,240,753
1477,241,323
1478,241,520
1479,241,724
1480,241,794
1481,241,809
1482,242,651
1483,243,313
1484,243,403
1485,243,766
1486,243,979
1487,244,834
1488,244,979
1489,245,312
1490,245,392
1491,245,733
1492,245,742
1493,245,781
1494,245,988
1495,245,989
1496,246,262
1497,246,303
1498,246,326
1499,246,608
1500,246,646
1501,246,679
1502,246,687
1503,246,742
1504,246,827
1505,249,954
1506,250,284
1507,250,431
1508,250,645
1509,250,774
1510,250,983
1511,251,912
1512,252,324
1513,252,386
1514,252,598
1515,252,732
1516,252,756
1517,253,583
1518,253,798
1519,253,887
1520,254,288
1521,254,726
1522,254,782
1523,254,794
1524,254,822
1525,254,841
1526,255,388
1527,255,672
1528,255,707
1529,255,910
1530,256,331
1531,256,421
1532,256,458
1533,256,589
1534,256,677
1535,256,711
1536,256,764
1537,256,804
1538,256,889
1539,257,335
1540,257,651
1541,257,727
1542,258,359
1543,258,393
1544,258,406
1545,258,414
1546,258,495
1547,258,558
1548,258,875
1549,259,324
1550,259,466
1551,259,722
1552,259,817
1553,259,959
1554,260,306
1555,260,402
1556,260,511
1557,260,758
1558,261,436
1559,261,451
1560,261,973
1561,261,990
1562,262,395
1563,262,424
1564,262,492
1565,262,534
1566,262,567
1567,262,649
1568,262,692
1569,262,710
1570,263,788
1571,264,304
1572,264,352
1573,264,380
1574,264,646
1575,264,710
1576,264,724
1577,264,746
1578,264,836
1579,264,846
1580,264,989
1581,265,395
1582,265,584
1583,266,271
1584,266,727
1585,266,780
1586,267,384
1587,267,695
1588,267,746
1589,267,764
1590,268,436
1591,268,615
1592,268,715
1593,268,920
1594,268,984
1595,269,293
1596,269,377
1597,269,441
1598,269,561
1599,269,693
1600,269,961
1601,270,315
1602,270,340
1603,270,377
1604,270,422
1605,270,641
1606,270,674
1607,270,693
1608,270,716
1609,270,842
1610,270,892
1611,271,391
1612,271,411
1613,271,483
1614,271,506
1615,271,590
1616,271,657
1617,272,318
1618,272,342
1619,272,352
1620,272,384
1621,272,545
1622,272,840
1623,272,884
1624,272,977
1625,273,780
1626,273,804
1627,273,999
1628,274,464
1629,275,350
1630,275,552
1631,275,924
1632,276,734
1633,277,625
1634,277,880
1635,277,988
1636,278,660
1637,279,302
1638,279,305
1639,279,331
1640,279,538
1641,279,554
1642,279,707
1643,279,910
1644,280,314
1645,280,465
1646,280,787
1647,281,825
1648,282,320
1649,282,516
1650,282,592
1651,283,452
1652,283,479
1653,283,576
1654,283,717
1655,283,720
1656,283,927
1657,283,942
1658,283,998
1659,284,403
1660,284,525
1661,284,834
1662,285,345
1663,285,485
1664,285,504
1665,285,513
1666,285,575
1667,285,642
1668,285,644
1669,285,682
1670,285,767
1671,286,500
1672,286,743
1673,286,806
1674,286,931
1675,287,518
1676,288,496
1677,288,517
1678,288,548
1679,288,601
1680,288,921
1681,288,925
1682,288,950
1683,289,409
1684,289,688
1685,289,856
1686,290,323
1687,290,340
1688,290,424
1689,290,649
1690,290,692
1691,290,764
1692,290,933
1693,291,402
1694,291,445
1695,291,634
1696,291,856
1697,292,413
1698,292,516
1699,292,582
1700,292,663
1701,292,702
1702,292,750
1703,292,908
1704,292,949
1705,293,312
1706,293,512
1707,293,545
1708,293,608
1709,293,742
1710,293,840
1711,293,922
1712,294,388
1713,294,520
1714,294,673
1715,296,379
1716,296,525
1717,296,673
1718,297,377
1719,297,380
1720,297,389
1721,297,530
1722,297,558
1723,297,681
1724,297,698
1725,297,723
1726,297,735
1727,297,819
1728,297,909
1729,298,359
1730,298,378
1731,298,386
1732,298,721
1733,298,767
1734,298,823
1735,298,866
1736,298,885
1737,298,916
1738,299,487
1739,299,489
1740,299,583
1741,299,596
1742,299,612
1743,299,721
1744,299,722
1745,299,747
1746,299,907
1747,299,942
1748,300,305
1749,300,443
1750,300,582
1751,300,786
1752,300,800
1753,301,428
1754,301,433
1755,301,687
1756,301,901
1757,302,684
1758,302,919
1759,303,317
1760,303,341
1761,303,467
1762,303,646
1763,303,686
1764,303,692
1765,303,846
1766,303,862
1767,303,977
1768,303,988
1769,304,536
1770,304,573
1771,304,639
1772,304,642
1773,304,692
1774,304,845
1775,304,849
1776,304,903
1777,305,776
1778,305,944
1779,305,972
1780,306,402
1781,306,472
1782,306,581
1783,306,743
1784,306,877
1785,306,904
1786,306,937
1787,306,991
1788,307,405
1789,307,525
1790,308,419
1791,308,505
1792,308,541
1793,308,782
1794,308,819
1795,308,955
1796,309,649
1797,309,797
1798,310,483
1799,310,839
1800,311,415
1801,311,463
1802,311,613
1803,311,647
1804,311,850
1805,312,417
1806,312,427
1807,312,568
1808,312,789
1809,312,846
1810,312,909
1811,313,421
1812,313,515
1813,313,522
1814,313,889
1815,313,918
1816,314,876
1817,315,318
1818,315,322
1819,315,329
1820,315,561
1821,315,567
1822,315,587
1823,315,641
1824,315,642
1825,315,696
1826,315,962
1827,317,346
1828,317,377
1829,317,417
1830,317,425
1831,317,518
1832,317,521
1833,317,608
1834,317,715
1835,317,961
1836,317,988
1837,318,367
1838,318,380
1839,318,422
1840,318,555
1841,318,764
1842,318,805
1843,318,820
1844,319,887
1845,319,956
1846,320,571
1847,320,591
1848,320,634
1849,320,702
1850,320,779
1851,321,370
1852,321,936
1853,321,942
1854,322,367
1855,322,458
1856,322,752
1857,322,790
1858,323,424
1859,323,458
1860,323,646
1861,323,752
1862,323,819
1863,323,836
1864,323,868
1865,323,903
1866,323,992
1867,324,451
1868,324,622
1869,324,652
1870,325,544
1871,325,787
1872,325,876
1873,326,677
1874,326,897
1875,327,376
1876,327,519
1877,327,535
1878,327,620
1879,327,688
1880,327,856
1881,328,346
1882,328,442
1883,328,469
1884,329,345
1885,329,564
1886,329,625
1887,329,757
1888,329,767
1889,330,666
1890,330,676
1891,330,688
1892,330,891
1893,330,927
1894,331,499
1895,331,667
1896,331,696
1897,331,698
1898,331,879
1899,332,704
1900,332,880
1901,333,397
1902,334,377
1903,334,536
1904,334,686
1905,334,829
1906,334,846
1907,335,415
1908,336,472
1909,336,577
1910,336,597
1911,336,621
1912,336,833
1913,336,848
1914,336,982
1915,337,365
1916,337,398
1917,337,883
1918,337,938
1919,338,891
1920,339,418
1921,339,479
1922,339,603
1923,339,656
1924,339,683
1925,339,873
1926,339,942
1927,340,380
1928,340,494
1929,340,685
1930,340,771
1931,340,772
1932,340,881
1933,341,636
1934,341,646
1935,341,674
1936,342,389
1937,342,633
1938,342,674
1939,342,797
1940,342,862
1941,342,909
1942,343,430
1943,343,522
1944,343,599
1945,343,684
1946,343,871
1947,344,465
1948,344,468
1949,344,740
1950,345,542
1951,345,625
1952,345,682
1953,345,819
1954,345,915
1955,346,492
1956,346,570
1957,346,746
1958,346,792
1959,347,532
1960,347,715
1961,347,829
1962,347,916
1963,347,931
1964,347,940
1965,347,962
1966,347,976
1967,347,985
1968,347,990
1969,348,495
1970,348,548
1971,348,673
1972,348,707
1973,349,356
1974,349,547
1975,349,741
1976,349,833
1977,350,468
1978,350,552
1979,350,629
1980,350,829
1981,351,539
1982,351,584
1983,351,789
1984,351,854
1985,351,888
1986,351,934
1987,352,567
1988,352,595
1989,352,623
1990,353,393
1991,353,414
1992,353,450
1993,353,493
1994,353,557
1995,353,675
1996,353,759
1997,353,819
1998,354,800
1999,355,363
2000,355,595
2001,355,650
2002,355,789
2003,356,574
2004,356,621
2005,357,412
2006,358,635
2007,358,643
2008,358,653
2009,358,750
2010,359,450
2011,359,682
2012,359,721
2013,359,722
2014,359,726
2015,359,806
2016,360,549
2017,360,703
2018,360,941
2019,360,968
2020,361,421
2021,361,874
2022,361,960
2023,362,648
2024,362,658
2025,362,810
2026,363,539
2027,363,792
2028,364,380
2029,364,384
2030,364,559
2031,364,742
2032,364,752
2033,365,366
2034,365,611
2035,365,659
2036,365,834
2037,365,938
2038,366,602
2039,367,439
2040,367,578
2041,367,801
2042,367,837
2043,367,875
2044,367,903
2045,368,460
2046,368,584
2047,368,618
2048,368,854
2049,368,945
2050,370,702
2051,371,452
2052,371,472
2053,371,670
2054,371,726
2055,371,833
2056,371,856
2057,371,907
2058,372,437
2059,372,987
2060,373,418
2061,373,431
2062,373,596
2063,373,656
2064,373,726
2065,374,471
2066,374,583
2067,374,588
2068,374,833
2069,374,968
2070,375,459
2071,375,616
2072,375,661
2073,375,735
2074,375,791
2075,375,812
2076,375,933
2077,376,407
2078,376,511
2079,376,634
2080,376,688
2081,376,949
2082,377,389
2083,377,393
2084,377,414
2085,377,422
2086,377,424
2087,377,536
2088,377,587
2089,377,674
2090,377,675
2091,377,812
2092,377,821
2093,377,903
2094,378,400
2095,378,450
2096,378,489
2097,378,580
2098,378,597
2099,378,625
2100,378,738
2101,378,906
2102,378,933
2103,378,992
2104,379,566
2105,379,673
2106,379,838
2107,379,910
2108,379,919
2109,379,937
2110,379,960
2111,379,972
2112,380,460
2113,380,494
2114,380,498
2115,380,559
2116,380,742
2117,380,764
2118,380,780
2119,381,595
2120,381,725
2121,381,746
2122,382,486
2123,382,746
2124,382,884
2125,384,560
2126,384,567
2127,384,649
2128,384,650
2129,384,728
2130,384,824
2131,385,457
2132,385,469
2133,385,570
2134,385,863
2135,386,462
2136,386,500
2137,386,513
2138,386,652
2139,386,665
2140,386,806
